original_path,proposed_path,content_hash,duplicate_group,relationship,references_found,status,rollback_path,extension,media_type,file_size,dimensions,duration,frame_count,vcs_status,confidence
assets/05-1.png,assets/customer-dashboard-data-table.png,34d9276a56c12b108dba63de1c46574d90532378c0927a518868ad0773337e7d,none,related-distinct,none,renamed,assets/05-1.png,.png,image,1255109,5376x5505,,1,?? Cisco/Designing-Customer-Insights/assets/05-1.png,0.8
assets/05-2.png,assets/customer-dashboard-analysis-overview.png,44955ec059057e64960d8d8243f73451d54e8f6301298e8a26f98170cfb3ee11,none,related-distinct,none,renamed,assets/05-2.png,.png,image,1171571,5376x5505,,1,?? Cisco/Designing-Customer-Insights/assets/05-2.png,0.84
assets/05-3.png,assets/customer-dashboard-product-summary.png,bc5b1c2f640a81adca92cb4a23523437ed54052862bedefe3559957b79b66c77,none,related-distinct,none,renamed,assets/05-3.png,.png,image,1003882,5376x5505,,1,?? Cisco/Designing-Customer-Insights/assets/05-3.png,0.78
assets/05-4.png,assets/customer-dashboard-opportunity-summary.png,e7c9b8a9c4af3b36728edff69e32334cad85fda72c4c43ff4f8b8f834edc2baa,none,related-distinct,none,renamed,assets/05-4.png,.png,image,972640,5376x5505,,1,?? Cisco/Designing-Customer-Insights/assets/05-4.png,0.76
assets/05-5.png,assets/customer-dashboard-renewal-table.png,1142275c60484ed7529b70d0406144c4a8439e0e3d3f262d7ea8b308e8fe8d30,none,related-distinct,none,renamed,assets/05-5.png,.png,image,991963,5376x5505,,1,?? Cisco/Designing-Customer-Insights/assets/05-5.png,0.76
assets/05-6.png,assets/customer-dashboard-contract-timeline.png,635413539887810ae8517639a8058497dd9f676ea75ec4bea04a1bf1a2467f2d,none,related-distinct,none,renamed,assets/05-6.png,.png,image,1075325,5376x5505,,1,?? Cisco/Designing-Customer-Insights/assets/05-6.png,0.77
assets/05.png,assets/customer-dashboard-account-overview.png,d358c22c0590a3042c26b49630a3c8d82cf00c18c61de59fc10018ccce6dbd03,none,related-distinct,none,renamed,assets/05.png,.png,image,957131,5376x5505,,1,?? Cisco/Designing-Customer-Insights/assets/05.png,0.86
assets/Breakdown-1.png,assets/customer-dashboard-design-breakdown.png,52f8bc637312fa89e23751d74f770c2fe001e07ac3c42b5333120f52a3df6073,none,related-distinct,none,renamed,assets/Breakdown-1.png,.png,image,1563041,12350x5511,,1,?? Cisco/Designing-Customer-Insights/assets/Breakdown-1.png,0.88
assets/Complete-Flow.mov,assets/customer-dashboard-complete-flow.mov,b50029767328b09dbc5720bdb5fa54ddb4e12be086028aa163e9f1c8000024d6,customer-dashboard-complete-flow,resolution-equivalent,none,renamed,assets/Complete-Flow.mov,.mov,video,5631779,3584x1928,14.11,861,?? Cisco/Designing-Customer-Insights/assets/Complete-Flow.mov,0.88
assets/Customer-Insights-Complete-design.webm,assets/customer-dashboard-complete-flow-lowres-01.webm,eb4480b9a5703f6c8146ccaffe1a533770b3eefff380cc93b215c947921520ec,customer-dashboard-complete-flow,resolution-equivalent,none,renamed,assets/Customer-Insights-Complete-design.webm,.webm,video,368834,1920x1080,10.6,,?? Cisco/Designing-Customer-Insights/assets/Customer-Insights-Complete-design.webm,0.86
