original_path,proposed_path,content_hash,duplicate_group,relationship,references_found,status,rollback_path,extension,media_type,file_size,dimensions,duration,frame_count,vcs_status,confidence
assets/Changing-Cards.png,assets/upsell-recommendation-card-copy.png,f61e667034bac544d01d082689773f1647417abd1a0a3c00e19d9fdd6ef45d1a,none,related-distinct,none,renamed,assets/Changing-Cards.png,.png,image,497510,4049x2277,,1,?? Cisco/Designing-Upsell-Opportunities/assets/Changing-Cards.png,0.93
assets/Final-Collection.png,assets/upsell-opportunity-collection.png,a6ad326557da843536ee569c9638d39a5cd81f89c6b7507b8ed50cbae1b13209,none,related-distinct,none,renamed,assets/Final-Collection.png,.png,image,2916166,10630x5979,,1,?? Cisco/Designing-Upsell-Opportunities/assets/Final-Collection.png,0.9
assets/Final-screens-upsell-opportunities.webm,assets/upsell-opportunity-final-dashboard-flow.webm,08183c938798b76022b82f8001c6277d137be7a5ccf79d066e613b056b866919,none,related-distinct,none,renamed,assets/Final-screens-upsell-opportunities.webm,.webm,video,288874,1920x1080,6.066,,?? Cisco/Designing-Upsell-Opportunities/assets/Final-screens-upsell-opportunities.webm,0.9
assets/Idea-01.webm,assets/upsell-opportunity-chart-concept.webm,f42e99f79bcba0a6d71f076eaec55949b802abab174818928d46e8f881fdc0c2,upsell-concepts,editorial-variant,none,renamed,assets/Idea-01.webm,.webm,video,1050278,1790x1280,17.6,,?? Cisco/Designing-Upsell-Opportunities/assets/Idea-01.webm,0.84
assets/Idea-02.webm,assets/upsell-opportunity-summary-concept.webm,008f697835cd88c4a43527de24081519d4b5ffbad396620cfa71dfd8e0b6878e,upsell-concepts,editorial-variant,none,renamed,assets/Idea-02.webm,.webm,video,1037740,1790x1280,17.867,,?? Cisco/Designing-Upsell-Opportunities/assets/Idea-02.webm,0.82
assets/Idea-03.webm,assets/upsell-opportunity-panel-concept.webm,a82c304c3a77d6d7c44005294161f4e6ff7605f5f7520e6051b5c346653da95b,upsell-concepts,editorial-variant,none,renamed,assets/Idea-03.webm,.webm,video,1248474,1790x1280,19.867,,?? Cisco/Designing-Upsell-Opportunities/assets/Idea-03.webm,0.88
assets/Ideation-01.webm,assets/upsell-recommendation-modal-ideation.webm,d248ecd5b4b1d70c9b636fa6c5586c95cf660b91ab063f00c68aed2724da7b8c,upsell-ideation,editorial-variant,none,renamed,assets/Ideation-01.webm,.webm,video,975934,1790x1280,20.35,,?? Cisco/Designing-Upsell-Opportunities/assets/Ideation-01.webm,0.86
assets/Ideation-02.webm,assets/upsell-recommendation-overlay-ideation.webm,4860d503577a2400e516d807deb6104a908c08095c34e6f85d80859ea420a414,upsell-ideation,editorial-variant,none,renamed,assets/Ideation-02.webm,.webm,video,854686,1790x1280,16.65,,?? Cisco/Designing-Upsell-Opportunities/assets/Ideation-02.webm,0.85
assets/Ideation-03.webm,assets/upsell-recommendation-sidebar-ideation.webm,c25afabf41cfef9cf3fd0618aa6b651d84a16a1862113b47f758e0eb426dcadb,upsell-ideation,editorial-variant,none,renamed,assets/Ideation-03.webm,.webm,video,1117212,1790x1280,19.484,,?? Cisco/Designing-Upsell-Opportunities/assets/Ideation-03.webm,0.87
assets/Insights.png,assets/stakeholder-data-insight-comparison.png,68a829301b1a65a870e61d07915f37d451e9730597fe40a5a4fc754091b54b60,none,related-distinct,none,renamed,assets/Insights.png,.png,image,164103,6621x3724,,1,?? Cisco/Designing-Upsell-Opportunities/assets/Insights.png,0.93
